City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,ciudad acuna,29.3232,-100.9522,27.16,75,75,6.17,MX,1683786359
130,tura,25.5198,90.2201,35.69,33,0,3.26,IN,1683785895
131,nema,57.5067,50.5011,13.29,62,61,2.33,RU,1683786360
132,necochea,-38.5473,-58.7368,9.47,70,100,1.74,AR,1683786188
133,osceola,28.042,-81.1242,23.99,86,6,1.67,US,1683786360
134,tomatlan,19.9333,-105.25,22.88,60,1,0.67,MX,1683786360
135,shenjiamen,29.9576,122.298,17.38,64,99,1.65,CN,1683786360
136,susuman,62.7833,148.1667,5.65,67,94,4.1,RU,1683785847
137,goderich,43.7501,-81.7165,14.18,58,15,3.6,CA,1683786360
138,happy valley-goose bay,53.3168,-60.3315,-1.83,69,20,1.54,CA,1683785835
139,sitka,57.0531,-135.33,9.94,71,100,5.66,US,1683785883
140,nago,26.5881,127.9761,25.25,59,34,4.47,JP,1683786361
141,mazatlan,23.2167,-106.4167,24.95,71,0,0.45,MX,1683786103
142,ushuaia,-54.8,-68.3,7.81,76,0,3.6,AR,1683785816
143,hermanus,-34.4187,19.2345,16.0,90,83,5.44,ZA,1683785841
144,coquimbo,-29.9533,-71.3436,12.85,94,100,1.54,CL,1683785900
145,klyuchi,52.2667,79.1667,25.49,31,99,9.6,RU,1683785816
146,chonchi,-42.6128,-73.8092,12.84,99,85,0.91,CL,1683785830
147,invercargill,-46.4,168.35,8.34,95,99,1.34,NZ,1683785843
148,aykhal,66.0,111.5,-2.4,80,64,7.26,RU,1683785820
149,juneau,58.3019,-134.4197,12.34,80,75,4.63,US,1683786192
150,san patricio,28.017,-97.5169,26.97,95,25,5.04,US,1683785814
151,lerwick,60.1545,-1.1494,8.0,92,39,3.13,GB,1683785914
152,enewetak,11.3474,162.3373,27.65,83,77,6.03,MH,1683785894
153,pisco,-13.7,-76.2167,19.03,82,0,1.54,PE,1683785849
154,estherville,43.4016,-94.8328,20.04,66,0,8.75,US,1683786363
155,saint-philippe,-21.3585,55.7679,27.77,75,76,5.95,RE,1683785827
156,bonthe,7.5264,-12.505,26.42,79,100,1.87,SL,1683786363
157,gobabis,-22.45,18.9667,15.91,31,3,1.45,NA,1683786364
158,colon,9.3592,-79.9014,26.31,84,35,1.18,PA,1683786364
159,sabang,5.8933,95.3214,29.04,70,79,1.34,ID,1683786364
160,eha amufu,6.6592,7.7596,25.31,88,78,1.53,NG,1683786365
161,road town,18.4167,-64.6167,27.27,71,56,7.2,VG,1683786366
162,lihue,21.9789,-159.3672,23.58,82,100,6.17,US,1683785827
